Date,Threat Name,Temperature (°C),Precipitation (mm),Threat Type,Wildlife Affected,Severity
15 February,Poaching,34,513,Human Made,Low,3
15 February,Landslide,18,546,Natural,Low,5
15 February,Poaching,3,25,Human Made,High,7
15 February,Flood,9,507,Natural,Low,10
15 February,Fire,35,628,Natural,High,8
15 February,Fire,27,90,Natural,High,5
15 February,Flood,7,10,Natural,Low,3
15 February,Poaching,37,558,Human Made,Medium,9
15 February,Flood,42,394,Natural,Medium,10
15 February,Earthquake,5,188,Natural,Low,1
15 February,Pollution,39,218,Human Made,Medium,1
15 February,Drought,45,446,Natural,High,9
15 February,Disease,12,493,Natural,Medium,6
15 February,Fire,36,135,Natural,Medium,7
15 February,Drought,12,4,Natural,Low,3
15 February,Poaching,14,667,Human Made,High,3
15 February,Deforestation,21,208,Human Made,Low,5
15 February,Lightning,33,572,Natural,High,5
15 February,Drought,12,67,Natural,High,2
15 February,Poaching,23,61,Human Made,High,7
15 February,Drought,44,533,Natural,High,5
15 February,Poaching,4,297,Human Made,Low,6
15 February,Poaching,39,511,Human Made,High,5
15 February,Fire,45,70,Natural,Medium,1
15 February,Fire,43,1,Natural,Low,6
15 February,Lightning,11,565,Natural,High,7
15 February,Deforestation,8,223,Human Made,Medium,8
15 February,Storm,21,495,Natural,High,8
15 February,Disease,44,104,Natural,Low,3
15 February,Drought,3,144,Natural,Medium,7
15 February,Storm,11,185,Natural,Medium,4
15 February,Overgrazing,40,58,Human Made,Low,2
15 February,Drought,6,354,Natural,Medium,2
15 February,Poaching,21,27,Human Made,High,8
15 February,Landslide,19,92,Natural,High,4
16 February,Flood,9,512,Natural,Low,5
16 February,Disease,3,79,Natural,High,9
16 February,Fire,16,504,Natural,Medium,5
16 February,Overgrazing,46,111,Human Made,Low,5
16 February,Flood,3,435,Natural,High,1
16 February,Disease,8,83,Natural,Low,6
16 February,Disease,48,102,Natural,High,7
16 February,Storm,33,482,Natural,High,3
16 February,Pollution,38,413,Human Made,Low,6
16 February,Poaching,2,548,Human Made,Medium,3
16 February,Earthquake,7,162,Natural,Medium,6
16 February,Fire,14,37,Natural,Medium,5
16 February,Flood,26,593,Natural,Low,5
16 February,Disease,17,508,Natural,Low,6
16 February,Deforestation,28,643,Human Made,High,9
16 February,Poaching,6,256,Human Made,Medium,9
16 February,Lightning,17,209,Natural,Low,3
16 February,Pollution,14,408,Human Made,High,10
16 February,Poaching,6,293,Human Made,Low,3
16 February,Disease,34,398,Natural,Medium,7
16 February,Deforestation,46,583,Human Made,Low,10
16 February,Earthquake,2,297,Natural,High,1
16 February,Storm,49,129,Natural,Low,10
16 February,Poaching,18,395,Human Made,High,3
16 February,Lightning,26,215,Natural,High,2
16 February,Landslide,20,654,Natural,Low,8
16 February,Fire,20,691,Natural,Low,10
16 February,Fire,23,598,Natural,High,3
16 February,Fire,35,36,Natural,Low,5
16 February,Deforestation,2,587,Human Made,Medium,6
16 February,Disease,21,416,Natural,High,9
16 February,Fire,19,480,Natural,Medium,3
16 February,Pollution,28,294,Human Made,Medium,7
16 February,Drought,11,334,Natural,Medium,5
16 February,Fire,23,12,Natural,Medium,2
16 February,Storm,45,331,Natural,Low,4
16 February,Drought,16,103,Natural,Low,6
16 February,Drought,22,119,Natural,High,4
16 February,Drought,41,169,Natural,Low,10
16 February,Fire,13,608,Natural,High,6
16 February,Storm,24,111,Natural,Low,9
16 February,Poaching,41,90,Human Made,Low,10
16 February,Deforestation,49,128,Human Made,High,5
16 February,Drought,38,373,Natural,Medium,8
16 February,Disease,41,357,Natural,Medium,2
16 February,Flood,1,410,Natural,High,8
16 February,Lightning,6,92,Natural,Low,7
16 February,Disease,32,696,Natural,Low,7
16 February,Deforestation,39,523,Human Made,High,8
16 February,Landslide,41,625,Natural,Low,2
16 February,Overgrazing,1,519,Human Made,Medium,1
16 February,Fire,2,667,Natural,High,8
16 February,Disease,7,96,Natural,Low,4
16 February,Poaching,13,498,Human Made,High,5
16 February,Fire,3,33,Natural,Low,1
16 February,Flood,24,690,Natural,Low,6
16 February,Pollution,8,662,Human Made,Low,9
16 February,Landslide,18,606,Natural,High,4
16 February,Earthquake,45,152,Natural,Medium,2
16 February,Drought,34,450,Natural,Medium,1
16 February,Fire,31,522,Natural,Low,6
16 February,Disease,31,628,Natural,Medium,2
16 February,Flood,29,553,Natural,Medium,2
16 February,Flood,4,306,Natural,Medium,1
16 February,Flood,13,545,Natural,Medium,7
16 February,Deforestation,38,421,Human Made,Medium,5
16 February,Disease,17,538,Natural,Medium,7
16 February,Overgrazing,9,223,Human Made,High,3
16 February,Deforestation,40,600,Human Made,Low,1
16 February,Poaching,39,16,Human Made,High,1
16 February,Deforestation,35,101,Human Made,Low,6
16 February,Drought,42,153,Natural,Medium,7
16 February,Disease,49,445,Natural,Low,4
16 February,Flood,40,646,Natural,High,3
16 February,Deforestation,24,75,Human Made,High,1
16 February,Landslide,19,516,Natural,Low,1
16 February,Disease,18,330,Natural,High,7
16 February,Fire,21,517,Natural,Medium,8
16 February,Pollution,29,321,Human Made,Medium,2
16 February,Overgrazing,32,470,Human Made,Low,5
16 February,Storm,10,0,Natural,High,6
16 February,Poaching,16,578,Human Made,Medium,3
17 February,Flood,47,385,Natural,Medium,6
17 February,Flood,40,424,Natural,Low,10
17 February,Earthquake,14,433,Natural,Medium,2
17 February,Pollution,32,270,Human Made,Medium,6
17 February,Lightning,36,253,Natural,Low,10
17 February,Disease,2,657,Natural,High,9
17 February,Pollution,37,559,Human Made,Medium,4
17 February,Disease,17,501,Natural,Low,4
17 February,Deforestation,42,169,Human Made,Low,7
17 February,Storm,28,200,Natural,High,4
17 February,Flood,43,465,Natural,Medium,1
17 February,Lightning,11,642,Natural,Low,9
17 February,Drought,13,336,Natural,High,6
17 February,Deforestation,27,501,Human Made,High,8
17 February,Storm,28,277,Natural,Low,4
17 February,Disease,44,437,Natural,High,6
17 February,Lightning,8,622,Natural,High,7
17 February,Landslide,28,394,Natural,Medium,8
17 February,Pollution,7,263,Human Made,Low,8
17 February,Flood,14,275,Natural,Medium,4
17 February,Drought,12,239,Natural,High,6
17 February,Poaching,31,407,Human Made,High,4
17 February,Earthquake,45,536,Natural,Low,6
17 February,Disease,49,618,Natural,Medium,4
17 February,Lightning,28,602,Natural,Low,2
17 February,Poaching,10,650,Human Made,High,6
17 February,Deforestation,36,467,Human Made,High,7
17 February,Landslide,41,276,Natural,High,10
17 February,Overgrazing,22,402,Human Made,Low,4
17 February,Lightning,6,203,Natural,Low,2
17 February,Fire,16,559,Natural,High,7
17 February,Drought,11,561,Natural,Medium,2
17 February,Poaching,37,23,Human Made,Low,8
17 February,Disease,40,160,Natural,Low,3
17 February,Disease,24,672,Natural,High,8
17 February,Overgrazing,36,611,Human Made,Medium,1
17 February,Overgrazing,35,17,Human Made,Low,5
17 February,Earthquake,23,246,Natural,Medium,1
17 February,Disease,36,64,Natural,Medium,8
17 February,Deforestation,35,173,Human Made,High,8
17 February,Overgrazing,39,693,Human Made,Low,9
17 February,Flood,17,645,Natural,High,7
17 February,Landslide,31,185,Natural,High,3
17 February,Fire,27,506,Natural,Medium,1
17 February,Overgrazing,31,554,Human Made,Medium,1
17 February,Pollution,9,62,Human Made,Medium,3
17 February,Flood,1,644,Natural,High,2
17 February,Landslide,33,635,Natural,Medium,9
17 February,Disease,1,238,Natural,High,10
17 February,Fire,23,90,Natural,Medium,10
17 February,Drought,33,324,Natural,High,10
17 February,Drought,47,310,Natural,High,9
17 February,Deforestation,41,90,Human Made,Low,5
17 February,Fire,19,47,Natural,Low,1
17 February,Lightning,17,332,Natural,Medium,1
17 February,Deforestation,6,249,Human Made,Medium,6
17 February,Landslide,2,239,Natural,Low,7
17 February,Disease,19,633,Natural,High,2
17 February,Drought,47,421,Natural,Medium,6
17 February,Deforestation,31,137,Human Made,High,10
17 February,Pollution,7,216,Human Made,High,7
17 February,Drought,20,143,Natural,Low,6
17 February,Storm,17,430,Natural,Medium,2
17 February,Disease,1,97,Natural,Low,7
17 February,Storm,37,64,Natural,High,3
17 February,Flood,29,426,Natural,High,2
17 February,Deforestation,40,179,Human Made,Low,9
17 February,Fire,35,645,Natural,High,9
17 February,Lightning,20,285,Natural,Low,5
17 February,Disease,24,375,Natural,Medium,3
17 February,Pollution,44,572,Human Made,Medium,3
17 February,Disease,32,175,Natural,High,10
17 February,Storm,48,569,Natural,High,7
17 February,Overgrazing,50,475,Human Made,High,3
17 February,Fire,9,3,Natural,Medium,7
17 February,Drought,19,196,Natural,High,10
17 February,Disease,46,629,Natural,High,8
17 February,Earthquake,14,169,Natural,Low,8
17 February,Overgrazing,48,369,Human Made,High,10
17 February,Fire,17,262,Natural,Medium,9
17 February,Lightning,45,506,Natural,High,7
17 February,Storm,23,66,Natural,Medium,7
18 February,Storm,36,416,Natural,Medium,7
18 February,Overgrazing,23,273,Human Made,Low,8
18 February,Landslide,25,180,Natural,High,7
18 February,Landslide,7,435,Natural,Medium,6
18 February,Deforestation,48,562,Human Made,High,1
18 February,Earthquake,30,202,Natural,Medium,8
18 February,Disease,33,550,Natural,Low,7
18 February,Flood,17,521,Natural,Low,8
18 February,Lightning,48,547,Natural,Medium,10
18 February,Deforestation,24,332,Human Made,Medium,7
18 February,Flood,7,78,Natural,Medium,6
18 February,Deforestation,45,149,Human Made,High,4
18 February,Deforestation,4,417,Human Made,High,9
18 February,Storm,7,214,Natural,Low,6
18 February,Storm,48,683,Natural,High,2
18 February,Earthquake,1,274,Natural,Medium,4
18 February,Deforestation,30,365,Human Made,Medium,3
18 February,Lightning,26,165,Natural,Low,5
18 February,Deforestation,2,360,Human Made,Medium,9
18 February,Fire,45,33,Natural,High,9
18 February,Storm,3,440,Natural,High,3
18 February,Poaching,43,8,Human Made,Low,7
18 February,Overgrazing,19,385,Human Made,High,7
18 February,Storm,39,11,Natural,Medium,1
18 February,Pollution,14,199,Human Made,High,2
18 February,Earthquake,49,32,Natural,Low,10
18 February,Overgrazing,17,128,Human Made,Low,2
18 February,Poaching,48,309,Human Made,High,1
18 February,Overgrazing,5,270,Human Made,Medium,4
18 February,Overgrazing,36,437,Human Made,Medium,4
18 February,Pollution,16,289,Human Made,High,3
18 February,Lightning,28,628,Natural,Low,8
18 February,Fire,11,253,Natural,Medium,2
18 February,Landslide,3,51,Natural,High,5
18 February,Landslide,50,370,Natural,High,4
18 February,Drought,38,507,Natural,Medium,9
18 February,Fire,30,36,Natural,Low,4
18 February,Storm,4,251,Natural,High,8
18 February,Earthquake,11,578,Natural,High,4
18 February,Storm,16,543,Natural,High,10
18 February,Poaching,28,173,Human Made,Low,4
18 February,Disease,16,646,Natural,Low,8
18 February,Landslide,45,580,Natural,Medium,1
18 February,Fire,1,464,Natural,Low,3
18 February,Pollution,3,55,Human Made,Medium,8
18 February,Flood,15,482,Natural,High,2
18 February,Pollution,12,391,Human Made,High,8
18 February,Disease,25,166,Natural,High,1
18 February,Disease,42,623,Natural,Medium,5
18 February,Drought,9,312,Natural,Medium,4
18 February,Disease,42,186,Natural,Medium,8
18 February,Lightning,2,697,Natural,Medium,6
18 February,Deforestation,47,157,Human Made,High,7
18 February,Flood,30,39,Natural,Low,8
18 February,Landslide,5,41,Natural,Medium,3
18 February,Lightning,14,422,Natural,Low,6
18 February,Storm,32,209,Natural,Medium,2
18 February,Flood,4,692,Natural,High,2
18 February,Disease,11,585,Natural,High,10
18 February,Overgrazing,6,587,Human Made,Medium,1
18 February,Fire,44,449,Natural,Low,2
18 February,Deforestation,48,116,Human Made,Low,2
18 February,Fire,17,131,Natural,High,6
18 February,Fire,23,483,Natural,Medium,6
18 February,Pollution,41,166,Human Made,Medium,2
18 February,Drought,32,481,Natural,Low,7
18 February,Drought,12,618,Natural,Medium,4
18 February,Disease,39,219,Natural,High,9
18 February,Flood,19,207,Natural,High,5
18 February,Pollution,46,325,Human Made,Low,5
18 February,Deforestation,33,301,Human Made,Medium,7
18 February,Earthquake,6,672,Natural,Low,7
18 February,Overgrazing,50,184,Human Made,High,8
18 February,Landslide,8,213,Natural,Low,10
18 February,Earthquake,15,584,Natural,Low,2
18 February,Storm,43,574,Natural,Low,3
18 February,Pollution,30,125,Human Made,High,1
18 February,Fire,14,8,Natural,Low,3
18 February,Overgrazing,1,284,Human Made,Low,10
18 February,Earthquake,36,292,Natural,Low,2
18 February,Deforestation,19,22,Human Made,Medium,6
18 February,Drought,45,644,Natural,Medium,8
19 February,Deforestation,48,138,Human Made,Low,10
19 February,Deforestation,20,200,Human Made,Medium,2
19 February,Flood,25,96,Natural,Medium,4
19 February,Lightning,34,290,Natural,High,5
19 February,Disease,27,142,Natural,High,8
19 February,Disease,33,679,Natural,Medium,9
19 February,Flood,28,99,Natural,Medium,1
19 February,Landslide,31,203,Natural,High,6
19 February,Overgrazing,32,120,Human Made,Medium,5
19 February,Fire,25,502,Natural,High,4
19 February,Lightning,48,199,Natural,Medium,10
19 February,Overgrazing,8,501,Human Made,Low,9
19 February,Deforestation,6,468,Human Made,Medium,7
19 February,Poaching,37,495,Human Made,High,1
19 February,Landslide,19,621,Natural,Medium,3
19 February,Storm,10,38,Natural,Low,5
19 February,Overgrazing,26,255,Human Made,Medium,6
19 February,Overgrazing,39,280,Human Made,Medium,4
19 February,Overgrazing,36,425,Human Made,High,3
19 February,Poaching,23,293,Human Made,Low,3
19 February,Deforestation,16,666,Human Made,Low,2
19 February,Storm,29,175,Natural,High,5
19 February,Drought,38,5,Natural,Medium,3
19 February,Storm,3,584,Natural,High,4
19 February,Flood,21,275,Natural,Medium,1
19 February,Lightning,49,575,Natural,Low,9
19 February,Earthquake,35,278,Natural,Low,2
19 February,Landslide,21,118,Natural,Low,9
19 February,Disease,6,632,Natural,Medium,3
19 February,Flood,42,631,Natural,Medium,3
19 February,Landslide,43,662,Natural,Medium,7
19 February,Poaching,3,45,Human Made,Medium,10
19 February,Flood,37,510,Natural,Low,2
19 February,Earthquake,27,320,Natural,Low,8
19 February,Poaching,20,127,Human Made,Medium,10
19 February,Flood,12,516,Natural,High,6
19 February,Earthquake,35,465,Natural,Low,2
19 February,Earthquake,45,102,Natural,High,5
19 February,Overgrazing,7,485,Human Made,Medium,8
19 February,Earthquake,12,17,Natural,Medium,9
19 February,Earthquake,47,23,Natural,Low,9
19 February,Fire,5,662,Natural,Low,2
19 February,Disease,2,546,Natural,Medium,1
19 February,Landslide,10,220,Natural,Medium,4
19 February,Overgrazing,50,490,Human Made,Low,7
19 February,Drought,13,365,Natural,Medium,1
19 February,Lightning,30,570,Natural,Medium,10
19 February,Poaching,21,94,Human Made,Low,2
19 February,Storm,46,553,Natural,Low,1
19 February,Storm,37,4,Natural,High,10
19 February,Flood,18,360,Natural,Medium,5
19 February,Fire,8,433,Natural,High,1
19 February,Flood,41,508,Natural,Medium,1
19 February,Lightning,14,663,Natural,Low,2
19 February,Flood,2,602,Natural,Low,10
19 February,Storm,23,627,Natural,High,10
19 February,Poaching,5,490,Human Made,Medium,3
19 February,Flood,18,517,Natural,Low,5
19 February,Poaching,3,494,Human Made,Medium,10
19 February,Fire,32,447,Natural,Low,8
19 February,Drought,49,258,Natural,Medium,10
19 February,Landslide,26,384,Natural,High,7
19 February,Pollution,4,25,Human Made,Medium,1
19 February,Lightning,14,408,Natural,Low,4
19 February,Fire,5,264,Natural,Medium,1
19 February,Disease,30,430,Natural,Medium,9
19 February,Fire,34,436,Natural,Low,8
19 February,Drought,39,592,Natural,Medium,3
19 February,Lightning,43,212,Natural,High,9
19 February,Storm,8,164,Natural,Medium,4
19 February,Poaching,1,662,Human Made,High,5
19 February,Deforestation,3,629,Human Made,Medium,9
19 February,Pollution,14,401,Human Made,High,3
19 February,Earthquake,45,265,Natural,Medium,3
19 February,Poaching,23,29,Human Made,High,4
19 February,Deforestation,7,208,Human Made,Low,8
19 February,Overgrazing,30,51,Human Made,Medium,8
19 February,Earthquake,10,332,Natural,High,5
19 February,Flood,27,667,Natural,Low,5
19 February,Disease,17,655,Natural,Medium,3
19 February,Earthquake,12,118,Natural,Low,1
19 February,Drought,44,28,Natural,Medium,10
20 February,Disease,50,550,Natural,Medium,3
20 February,Pollution,34,260,Human Made,High,4
20 February,Earthquake,34,285,Natural,Low,1
20 February,Disease,35,139,Natural,Medium,5
20 February,Poaching,24,305,Human Made,Low,4
20 February,Deforestation,32,504,Human Made,Low,9
20 February,Disease,19,43,Natural,Medium,9
20 February,Flood,44,563,Natural,Low,9
20 February,Overgrazing,10,424,Human Made,High,3
20 February,Storm,45,306,Natural,Low,5
20 February,Drought,20,382,Natural,Low,3
20 February,Overgrazing,37,24,Human Made,High,9
20 February,Landslide,35,362,Natural,Low,8
20 February,Pollution,46,276,Human Made,Low,2
20 February,Lightning,37,668,Natural,High,5
20 February,Earthquake,9,492,Natural,Low,1
20 February,Landslide,11,409,Natural,Medium,10
20 February,Poaching,12,180,Human Made,Low,4
20 February,Landslide,12,458,Natural,Medium,9
20 February,Overgrazing,44,269,Human Made,High,7
20 February,Pollution,29,430,Human Made,High,6
20 February,Deforestation,48,108,Human Made,Low,1
20 February,Pollution,4,161,Human Made,Low,7
20 February,Disease,33,533,Natural,Low,7
20 February,Poaching,25,214,Human Made,Medium,4
20 February,Deforestation,46,647,Human Made,Medium,5
20 February,Earthquake,1,119,Natural,High,4
20 February,Pollution,28,305,Human Made,Medium,9
20 February,Flood,17,142,Natural,High,4
20 February,Drought,26,17,Natural,Low,6
20 February,Disease,30,370,Natural,Medium,1
20 February,Earthquake,16,33,Natural,Low,3
20 February,Disease,22,691,Natural,Low,8
20 February,Drought,26,581,Natural,Medium,4
20 February,Landslide,33,81,Natural,High,3
20 February,Drought,24,188,Natural,High,8
20 February,Pollution,42,514,Human Made,High,8
20 February,Deforestation,43,357,Human Made,Low,8
20 February,Storm,21,292,Natural,Low,5
20 February,Lightning,10,521,Natural,Low,5
20 February,Overgrazing,1,636,Human Made,Medium,2
20 February,Pollution,27,312,Human Made,Low,2
20 February,Drought,47,580,Natural,Medium,8
20 February,Disease,34,59,Natural,High,6
20 February,Landslide,43,408,Natural,Low,2
20 February,Poaching,40,504,Human Made,High,9
20 February,Flood,29,452,Natural,Low,5
20 February,Flood,24,667,Natural,Medium,8
20 February,Flood,43,179,Natural,Low,6
20 February,Overgrazing,26,160,Human Made,High,2
20 February,Disease,14,293,Natural,Medium,4
20 February,Poaching,24,575,Human Made,Low,8
20 February,Disease,39,130,Natural,Low,4
20 February,Pollution,26,346,Human Made,Medium,6
20 February,Deforestation,38,293,Human Made,Low,5
20 February,Disease,25,358,Natural,High,2
20 February,Earthquake,7,381,Natural,High,1
20 February,Storm,17,89,Natural,Medium,5
20 February,Deforestation,47,650,Human Made,High,7
20 February,Deforestation,29,299,Human Made,High,2
20 February,Pollution,44,179,Human Made,Low,4
20 February,Landslide,1,120,Natural,High,8
20 February,Earthquake,28,140,Natural,High,9
20 February,Flood,20,350,Natural,Medium,10
20 February,Poaching,7,312,Human Made,Medium,7
20 February,Deforestation,17,70,Human Made,Low,8
20 February,Lightning,39,403,Natural,High,1
20 February,Pollution,11,351,Human Made,Low,3
20 February,Disease,31,544,Natural,Medium,9
20 February,Disease,19,453,Natural,High,9
20 February,Landslide,22,456,Natural,Medium,9
20 February,Pollution,31,21,Human Made,Low,8
20 February,Deforestation,7,436,Human Made,Low,7
20 February,Fire,19,652,Natural,Low,2
20 February,Overgrazing,16,443,Human Made,Low,9
20 February,Earthquake,38,85,Natural,Medium,9
20 February,Storm,50,62,Natural,High,9
20 February,Drought,15,232,Natural,Medium,1
20 February,Landslide,7,390,Natural,Medium,8
20 February,Disease,16,579,Natural,Low,3
20 February,Poaching,35,115,Human Made,Low,3
20 February,Landslide,20,656,Natural,High,10
21 February,Pollution,22,236,Human Made,Low,3
21 February,Earthquake,2,442,Natural,High,5
21 February,Landslide,12,296,Natural,Low,1
21 February,Landslide,5,523,Natural,Low,10
21 February,Storm,21,694,Natural,Low,2
21 February,Pollution,7,161,Human Made,Medium,8
21 February,Landslide,34,309,Natural,Medium,8
21 February,Disease,47,595,Natural,Medium,7
21 February,Storm,48,689,Natural,Medium,2
21 February,Overgrazing,6,60,Human Made,Low,6
21 February,Overgrazing,4,246,Human Made,Low,3
21 February,Landslide,20,303,Natural,Medium,1
21 February,Earthquake,35,458,Natural,Low,2
21 February,Earthquake,23,262,Natural,Low,9
21 February,Flood,29,477,Natural,Low,4
21 February,Poaching,18,149,Human Made,Low,5
21 February,Deforestation,29,245,Human Made,Low,2
21 February,Drought,2,165,Natural,Medium,3
21 February,Poaching,14,472,Human Made,Medium,2
21 February,Fire,5,230,Natural,Medium,2
21 February,Poaching,3,460,Human Made,Medium,7
21 February,Lightning,13,98,Natural,High,6
21 February,Flood,29,10,Natural,Low,5
21 February,Drought,30,476,Natural,Medium,8
21 February,Drought,22,387,Natural,Low,10
21 February,Earthquake,17,595,Natural,High,4
21 February,Fire,10,261,Natural,Medium,9
21 February,Landslide,1,325,Natural,High,1
21 February,Poaching,11,560,Human Made,High,3
21 February,Storm,48,93,Natural,Low,10
21 February,Deforestation,42,41,Human Made,Low,8
21 February,Storm,42,296,Natural,Medium,2
21 February,Drought,30,333,Natural,High,6
21 February,Flood,40,454,Natural,Low,9
21 February,Flood,23,196,Natural,Medium,4
21 February,Deforestation,32,311,Human Made,Low,2
21 February,Flood,5,525,Natural,Medium,9
21 February,Drought,20,302,Natural,Medium,8
21 February,Fire,4,33,Natural,Low,5
21 February,Flood,10,182,Natural,Medium,5
21 February,Overgrazing,36,259,Human Made,High,8
21 February,Overgrazing,44,601,Human Made,Low,7
21 February,Lightning,2,225,Natural,Low,7
21 February,Flood,27,227,Natural,Low,9
21 February,Earthquake,27,487,Natural,Medium,2
21 February,Pollution,41,631,Human Made,Low,6
21 February,Flood,26,336,Natural,Medium,2
21 February,Deforestation,33,94,Human Made,Low,6
21 February,Poaching,43,102,Human Made,High,8
21 February,Earthquake,34,396,Natural,High,1
21 February,Poaching,5,575,Human Made,High,6
21 February,Drought,14,134,Natural,Medium,5
21 February,Storm,33,36,Natural,Medium,1
21 February,Storm,26,357,Natural,Low,10
21 February,Storm,26,23,Natural,Low,4
21 February,Poaching,24,520,Human Made,Low,7
21 February,Lightning,5,377,Natural,Low,10
21 February,Lightning,12,381,Natural,High,8
21 February,Flood,18,390,Natural,Low,4
21 February,Earthquake,38,563,Natural,High,2
21 February,Earthquake,16,552,Natural,Medium,4
21 February,Fire,42,677,Natural,High,7
21 February,Poaching,50,437,Human Made,High,6
21 February,Pollution,39,650,Human Made,Medium,5
21 February,Disease,32,425,Natural,Medium,8
21 February,Poaching,25,120,Human Made,High,8
21 February,Earthquake,30,8,Natural,Low,1
21 February,Poaching,28,94,Human Made,Medium,5
21 February,Deforestation,34,451,Human Made,High,1
21 February,Pollution,10,332,Human Made,Low,6
21 February,Lightning,34,30,Natural,Medium,2
21 February,Landslide,22,131,Natural,Medium,7
21 February,Fire,17,39,Natural,High,1
21 February,Landslide,23,618,Natural,Low,3
21 February,Pollution,12,612,Human Made,High,2
21 February,Disease,12,26,Natural,High,9
21 February,Drought,18,545,Natural,Medium,8
21 February,Overgrazing,50,44,Human Made,Low,10
21 February,Disease,22,203,Natural,Low,6
21 February,Storm,8,280,Natural,High,4
21 February,Flood,39,167,Natural,Medium,10
21 February,Lightning,14,572,Natural,Low,6
22 February,Earthquake,6,173,Natural,Medium,6
22 February,Earthquake,34,504,Natural,Medium,3
22 February,Storm,22,486,Natural,High,3
22 February,Storm,44,179,Natural,High,7
22 February,Flood,6,472,Natural,Medium,10
22 February,Flood,3,418,Natural,High,5
22 February,Lightning,31,23,Natural,Medium,10
22 February,Deforestation,1,131,Human Made,Medium,7
22 February,Poaching,20,22,Human Made,Medium,7
22 February,Pollution,43,293,Human Made,Low,10
22 February,Earthquake,31,339,Natural,High,2
22 February,Earthquake,18,50,Natural,Medium,6
22 February,Deforestation,41,294,Human Made,Medium,6
22 February,Pollution,17,228,Human Made,Low,6
22 February,Deforestation,28,339,Human Made,Low,2
22 February,Flood,3,219,Natural,Low,6
22 February,Disease,36,312,Natural,Medium,3
22 February,Fire,14,132,Natural,High,7
22 February,Disease,7,653,Natural,Low,10
22 February,Overgrazing,8,611,Human Made,High,4
22 February,Poaching,28,37,Human Made,Low,10
22 February,Flood,25,675,Natural,Low,6
22 February,Storm,25,111,Natural,Low,7
22 February,Poaching,5,647,Human Made,High,4
22 February,Disease,40,525,Natural,Medium,4
22 February,Landslide,48,207,Natural,High,7
22 February,Fire,44,435,Natural,Low,10
22 February,Deforestation,20,344,Human Made,High,3
22 February,Lightning,6,415,Natural,Low,9
22 February,Flood,35,265,Natural,Medium,10
22 February,Lightning,29,77,Natural,Medium,2
22 February,Drought,38,322,Natural,Medium,8
22 February,Drought,8,36,Natural,Medium,5
22 February,Deforestation,18,333,Human Made,High,1
22 February,Drought,40,253,Natural,Medium,7
22 February,Lightning,18,445,Natural,Low,4
22 February,Deforestation,28,164,Human Made,Low,9
22 February,Earthquake,18,108,Natural,Medium,4
22 February,Drought,36,217,Natural,Medium,8
22 February,Lightning,31,374,Natural,High,8
22 February,Fire,13,389,Natural,Medium,3
22 February,Storm,39,515,Natural,High,3
22 February,Poaching,26,282,Human Made,Low,8
22 February,Poaching,18,190,Human Made,Low,1
22 February,Landslide,26,78,Natural,High,5
22 February,Landslide,45,549,Natural,Medium,4
22 February,Earthquake,47,426,Natural,Medium,7
22 February,Storm,30,646,Natural,Low,6
22 February,Lightning,44,315,Natural,Low,6
22 February,Earthquake,33,459,Natural,Medium,4
22 February,Deforestation,39,240,Human Made,Medium,2
22 February,Poaching,50,39,Human Made,Medium,8
22 February,Drought,40,482,Natural,Medium,2
22 February,Pollution,43,244,Human Made,Medium,10
22 February,Disease,6,383,Natural,Low,7
22 February,Landslide,17,212,Natural,Medium,8
22 February,Fire,32,488,Natural,Medium,8
22 February,Landslide,41,692,Natural,High,2
22 February,Poaching,6,9,Human Made,High,8
22 February,Drought,7,251,Natural,High,6
22 February,Pollution,20,634,Human Made,Medium,8
22 February,Drought,11,366,Natural,Low,1
22 February,Earthquake,41,662,Natural,Medium,4
22 February,Poaching,9,636,Human Made,Low,8
22 February,Poaching,12,668,Human Made,Medium,5
22 February,Pollution,47,213,Human Made,Low,6
22 February,Poaching,50,559,Human Made,High,4
22 February,Fire,20,673,Natural,High,10
22 February,Flood,4,470,Natural,High,10
22 February,Poaching,22,507,Human Made,High,4
22 February,Drought,12,471,Natural,Low,5
22 February,Fire,11,42,Natural,Low,2
22 February,Storm,5,3,Natural,Medium,2
22 February,Landslide,31,254,Natural,Low,1
22 February,Landslide,34,177,Natural,Low,3
22 February,Pollution,1,550,Human Made,Medium,8
22 February,Drought,33,101,Natural,Medium,5
22 February,Earthquake,7,681,Natural,Medium,10
22 February,Storm,46,531,Natural,Medium,3
22 February,Earthquake,29,318,Natural,Medium,1
22 February,Disease,49,122,Natural,Low,4
22 February,Pollution,24,486,Human Made,High,6
23 February,Deforestation,31,631,Human Made,Low,4
23 February,Flood,7,538,Natural,Low,1
23 February,Deforestation,35,369,Human Made,Low,9
23 February,Fire,37,20,Natural,Medium,10
23 February,Lightning,25,700,Natural,Low,2
23 February,Fire,47,185,Natural,Low,10
23 February,Pollution,9,214,Human Made,High,9
23 February,Disease,40,59,Natural,High,6
23 February,Storm,38,373,Natural,High,9
23 February,Earthquake,4,153,Natural,Medium,1
23 February,Drought,21,620,Natural,High,8
23 February,Earthquake,4,441,Natural,Low,3
23 February,Landslide,2,285,Natural,Medium,5
23 February,Disease,22,429,Natural,Medium,9
23 February,Pollution,8,316,Human Made,High,3
23 February,Landslide,24,225,Natural,Medium,8
23 February,Poaching,13,143,Human Made,Low,8
23 February,Fire,20,94,Natural,Low,10
